age,age error,proxy,proxyerror,proxyname,researchername,proxytype,comments
1946.944444,0.4722225,0.012,0.008,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
1946,1.061111,0,NA,3.stegner_239240Pu_JRBP2018VC01B,3_stegner,pu,
2017.055556,0.305556,379,371,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,age and proxy errors are found by taking the mean of the difference between upper and lower age estimate
2009.388889,0.5555555,446,437,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
2005.630435,0.521739,1280,724.5,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
2004.708333,0.5069445,1132,640.5,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
2002.333333,1.0416665,284,278,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1999.9,1.1,0,0,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1998.027778,0.513889,668,462.5,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1997.076923,0.5192305,745,516,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1995.5625,0.53125,444,435,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1994.75,0.5416665,314,308,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1993.961538,0.5384615,550,380.5,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1993.055556,0.555556,403,394.5,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1991.666667,0.5833335,339,331.5,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
1990,0.5833335,642,444.5,3.stegner_SCP_JRBP2018VC01B,3_stegner,scp,
